word,meaning
개구리헤엄,개구리처럼 물에 엎드려 두 팔로 물을 헤치고 두 다리를 오므렸다 폈다 하는 헤엄.
개그맨,연극이나 텔레비전 프로그램 등에서 우스운 말이나 행동으로 다른 사람을 웃기는 사람.
개그우먼,연극이나 텔레비전 프로그램 등에서 우스운 말이나 행동으로 다른 사람을 웃기는 여자.
개근상,학교나 회사에서 정해진 기간 동안 하루도 빠지지 않은 사람에게 주는 상.
개나리,"이른 봄에 잎이 나오기 전에, 늘어진 긴 가지에 노란 꽃이 다닥다닥 붙어 피는 나무. 또는 그 꽃."
개나리꽃,이른 봄에 늘어진 긴 가지에 피는 노란 꽃.
개나발,(낮잡아 이르는 말로) 이치에 맞지 않는 헛소리나 쓸데없는 말.
개념적,어떤 사물에 대한 일반적인 지식이나 생각에 관한 것.
개도국,‘개발 도상국’을 줄여 이르는 말.
개똥벌레,꽁무니에서 빛을 내며 날아다니는 곤충.
개략적,어떤 일이나 사건의 내용을 짧게 줄인 것.
개량종,식물이나 동물을 좋은 것끼리 짝짓기를 시켜 독특하거나 더 우수하게 길러 낸 새 품종.
개량형,새롭게 고치어 더 좋게 된 형태.
개량화,새롭게 고치어 더 좋게 함.
개막전,일정한 기간동안 진행되는 운동 경기에서 가장 처음으로 치르는 경기.
개망신,(속된 말로) 아주 심한 망신.
개미집,개미가 구멍을 파서 모여 사는 굴.
개미허리,(비유적으로) 매우 가는 허리.
개발자,토지나 천연자원 등을 이용하기 쉽거나 쓸모 있게 만드는 사람.
개발자,새로운 물건을 만들거나 새로운 생각을 내놓는 사람.
개방적,생각이나 태도가 자유롭고 열려 있는 것.
개방형,자유롭게 들어가거나 이용할 수 있도록 만든 방식이나 형태. 
개방화,금지하거나 경계하던 것을 풀고 자유롭게 교류하게 됨. 또는 그렇게 함.
개봉작,새로 만들어져 상영되는 영화.
개살구,살구와 비슷하지만 맛이 시고 떫은맛이 나는 열매.
개살구,(비유적으로) 못난 사람이나 사물 또는 언짢은 일.
개선문,전쟁에서 이기고 돌아오는 군사를 환영하고 기념하기 위해 세운 대문 형식의 건축물.
개선안,"부족한 점, 잘못된 점, 나쁜 점 등을 고쳐서 더 좋게 만드는 안건."
개숫물,음식 그릇을 씻는 물.
개신교,종교 개혁에 의해 가톨릭에서 갈라져 나온 기독교의 한 교파.
개암나무,"가장자리가 톱니 모양으로 생긴 타원형의 잎이 나고, 동그랗고 단단한 갈색의 식용 열매가 열리는 나무."
개업식,개업을 알리고 축하하기 위한 의식.
개업의,개인적으로 병원을 열어 운영하는 의사.
개연성,일반적으로 그 일이 생길 수 있는 가능성.
개연적,일반적으로 그 일이 생길 가능성이 있는 것.
개울가,골짜기나 들에 흐르는 작은 물줄기의 주변.
개울물,골짜기나 들에 흐르는 물.
개인기,주로 단체 경기를 하는 운동에서 선수 한 사람이 가진 특별한 기술.
개인위생,개인의 질병을 미리 막고 건강을 지키기 위한 위생.
개인적,개인이 가진 것. 또는 개인과 관계되는 것.
개인주의,국가나 사회보다 개인의 권리와 이익이 더 중요하다는 사고방식이나 태도.
개인주의적,개인주의에 관계되거나 개인주의의 성격을 띠는 것.
개인차,개인의 능력이나 특성의 차이.
개인택시,개인이 운영하는 택시.
개인플레이,운동 경기에서 같은 편과 협력하지 않고 혼자서 경기를 펼치는 것.
개장국,"개고기를 양념, 채소와 함께 끓여 만든 국."
개정안,옳지 않거나 알맞지 않은 법이나 규칙을 바르게 고친 내용.
개정판,이미 출판되었던 책의 내용을 고쳐서 다시 출판한 책.
개차반,(속된 말로) 매우 형편없거나 더러운 상태. 또는 그런 사람.
개찰원,사람들이 탑승권이나 입장권을 가지고 있는지 입구에서 확인하는 사람.
개척자,거친 땅을 일구어 쓸 수 있는 땅으로 만드는 사람.
개척자,새로운 영역이나 길을 찾아서 처음으로 열어 나간 사람.
개척지,거친 땅을 일구어 논밭으로 만들거나 터전으로 삼은 땅.
개척지,"새로운 영역, 진로 등을 처음으로 열어 새로 얻은 분야나 영역."
개천절,단군이 고조선을 건국한 날을 기념하기 위한 국경일. 10월 3일이다.
개최국,"모임, 행사, 경기 등을 조직적으로 계획하여 여는 나라."
개최지,"모임, 행사, 경기 등을 조직적으로 계획해서 여는 장소."
개통식,개통을 기념하여 치르는 행사.
개표소,차표나 입장권 등을 검사하는 곳.
개헤엄,개가 헤엄치듯이 팔을 앞으로 내밀어서 손바닥으로 물을 끌어당기면서 발장구를 치는 헤엄.
개혁론,불합리한 제도나 기구 등을 새롭게 바꾸기 위한 주장이나 이론.
개혁안,불합리한 제도나 기구 등을 새롭게 바꾸기 위한 의견이나 안건.
개혁적,불합리한 제도나 기구 등을 새롭게 고치는 것.
개혁파,불합리한 제도나 기구 등을 새롭게 고쳐야 한다고 주장하는 집단.
개화파,시대에 뒤떨어진 사상과 풍속을 버리고 새로운 문화를 수용할 것을 주장하는 집단.
개활지,앞이 막힘없이 넓게 트인 땅.
개회사,회의나 공식적 모임을 시작하면서 그 모임의 회장이나 의장이 인사로 하는 말.
객관적,개인의 생각이나 감정에 치우치지 않고 사실이나 사물을 있는 그대로 보거나 생각하는 것.
객관화,어떤 사실이나 사물을 한쪽으로 치우치거나 왜곡하지 않고 있는 그대로 드러나도록 함.
객식구,원래 식구가 아닌데 같은 집에 묵고 있는 사람.
객줏집,(옛날에) 먼 데서 온 상인이나 나그네를 상대로 하던 여관.
갤러리,미술 작품을 전문적으로 전시하는 곳.
갤러리,골프 경기장에서 경기를 구경하는 사람들.
갯고랑,바닷물이 빠졌을 때에 드러나는 넓은 진흙 벌판에 움푹하게 패인 곳.
갯마을,바닷물이 드나드는 물가에 있는 마을.
갯바람,바다에서 육지로 부는 바람.
갱년기,마흔 살에서 쉰 살 사이에 신체의 기능이 떨어지면서 변화가 생기는 노년기로 접어드는 시기.
거국적,모든 국민이 함께 참여하는 것.
거두절미,앞과 뒤의 군더더기를 빼고 어떤 일의 중심만 간단히 말함.
거래량,물건이나 주식 등을 사고파는 수량.
